question,answer,category
"Review the general pathophysiology, SSx, Dx, and Tx of arsenic toxicity","Associations: wood preservatives, garlic taste/smell after ingestion. Path: decouples oxidative phosphorylation, interfering with ATP production and leading to multisystem organ failure. SSx: GI sx (TRIAD- abd pain, hematuria, jaundice), heme (massive RBC hemolysis), renal failure, shock, arrhythmia, CNS (seizure, ascending flaccid paralysis). Tx: dimercaprol (preferred) or dimercaptosuccinic acid (DMSA).",Toxicology
"Review the SSx and Tx of hydrocarbon intoxication (paint thinners, gasoline, chloral hydrate, lighter fluid)","Commonly sniffed, huffed, or bagged; ingestion is usually not toxic but can cause ARDS if aspirated. May cause VF/VT (sudden sniffing death). Rx: beta blockers, supportive care.",Toxicology
"What is the difference between sniffing, huffing, and bagging?",Sniffing: from container into nose. Huffing: from impregnated cloth into mouth/nose. Bagging: from plastic bag into nose/mouth.,Toxicology
"Review the general pathophysiology, Dx, and Tx of iron overdose","Ferrous sulfate is most common (20% elemental). Path: acts as mucosal corrosive, inhibits oxidative phosphorylation and ATP synthesis.Toxicity: >20mg/kg is toxic, >60mg/kg is lethal. Stages of toxicity: I: GI ssx (0-6 hrs), II: latent; asymptomatic (6-24hrs), III: shock & lactic acidosis (6-72hrs) IV: hepatotoxicity/necrosis (12-96hrs) V: GI scarring & gastric outlet obstruction (2-8wks). Rx: whole bowel irrigation, IVF, deferoxamine (indications: level >500 mcg/dL OR >300 mcg/dL and symptomatic). Note: vomiting predicts toxicity (<4: local, >4: systemic)",Toxicology
"Review the general pathophysiology, Dx, and Tx of lead poisoning","Sources: paint, old batteries, occupational exposure. SSx: microcytic anemia with basophilic stippling, abd pain, AMS, seizure, encephalopathy. Dx: peripheral smear, send whole blood lead level, XR: shows lead lines. Tx: chelation tx. PO succimer (DMSA) or IV EDTA (Calcium disodium edetate, given after Dimercaprol)",Toxicology
How and when to treat a child w/ lead toxicity?,No level is safe. ASYMPTOMATIC child w/ lead level of: - 5 to 44mcg/dl: find source and tx it. Get public health involved. -45 to 69 mcg/dl: oral chelation therapy only hospitalize if they don't have a lead free place to go -70mcg/dl: hospitalized for chelation therapy Symptomatic child at any level: hospitalize for chelation tx chelators: -oral: succimer (dimercaptosuccinic acid or DMSA) -IV or IM: calcium disodium EDTA or british anti-lewisite (dimercaprol). **kids w/ encephalopathy get treated w/ both EDTA and BAL** ICU level care is only for encephalopathy/seizures,Toxicology
"Review the general pathophysiology, Dx, and Tx of isoniazid (INH) overdose","Inhibits pyridoxine (B6). SSx: hepatotoxicity, metabolic acidosis, seizures/ status epilepticus. Tx: IV Pyridoxine (1G to B6 for each 1G of INH)",Toxicology
"Review the general pathophysiology, Dx, and Tx of lithium toxicity","Usually interactions with drugs that affect renal function (NSAIDs, diuretics, ACE). SSx: GI ssx (acute), neuro ssx (chronic; tremors, AMS), TWI on EKG. Tx: IVF, whole bowel irrigation, HD (renal failure, level >5, neuro sx).",Toxicology
What can be precipitated by abruptly stopping lithium?,"Thyroid storm. Random but testable. Lithium inhibits thyroid hormone release from the thyroid gland. Thus, stopping it abruptly can uncover thyroid pathology that was previously present but “managed” with the lithium.",Toxicology
How does the timing of symptoms in mushroom ingestions impact clinical management?,"In general, if pt has symptoms (n/v/d) within 6hr of ingestion it is likely non-toxic. If symptoms start after 6hr hepatotoxicity may occur.",Toxicology
"Review the SSx and Tx of cyclopeptide mushroom ingestion (Amanita, Galerina, Lepiota)","SSx: delayed GI sx >6 hrs followed by liver failure, renal failure, AMS, and death. Tx: supportive care, GI decontamination only.",Toxicology
"Review the SSx and Tx of monomethylhydrazine mushroom ingestion (Gyromitra ""false morel"")","SSx: delayed GI sx (>6 hrs) followed by seizures (think 'gyri' like brain), hepatorenal failure. Most have full recovery. Tx: supportive, ? activated charcoal, benzos and B6 for seizures (can be refractory)",Toxicology
"Review the general pathophysiology, Dx, and Tx of muscarine mushroom ingestion (Inocybe, Clitocybe)","Muscarinic effect (cholinergic/""DUMBBBELLS""). Tx: atropine, 2PAM.",Toxicology
"What is the key clinical effect (and treatment) of Psilsybin mushrooms (""magic mushrooms"" - Psilocybe, Conocybe, Gymnophilus, Panaeolus)?","Hallucinations, euphoria, agitation. Tx: benzos.",Toxicology
What is the key clinical effect (and treatment) of Coprine mushrooms (inky caps)?,Disulfiram-like reaction. Tx: supportive.,Toxicology
Review the SSx of phenytoin (Dilantin) toxicity,"PO: gingival hyperplasia, seizure uncommonly, no cards effect with PO. IV: hypotension (2/2 propylene glycol). Give fosphenytoin instead.",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of carbamazepine (Tegretol) toxicity","Na channel blockade, anticholinergic effect. SSx: ataxia, GI sx, QRS widening, seizure at high doses. Tx: supportive, sodium bicarb if wide QRS",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of benzodiazepine overdose","GABA agonist. SSx: ataxia (MC sign), lethargy, respiratory depression. Tx: supportive, intubate PRN, don't use Flumazenil except in kids (can precipitate withdrawal in pts who use benzos or EtOH normally)",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of barbiturate overdose","GABA agonist. SSx: hypotension, bradycardia, respiratory depression, rhabdo (""barb blisters""). Tx: supportive, intubate PRN.",Toxicology
What meds/ingestions are radiopaque on X-ray?,"CHIPES: Chloral hydrate, Heavy metals, Iron/Iodine, Phenothiazine, Enteric-coated, Solvents",Toxicology
"Dx, SSx, and Tx: Neuroleptic Malignant Syndrome","Antipsychotic use. SSx: AMS, ""LEAD PIPE"" MUSCLE RIGIDITY, hyperthermia, autonomic instability. Tx: supportive (IVF, benzos, cooling), Bromocriptine (dopamine agonist)",Toxicology
"Dx, SSx, and Tx: Serotonin Syndrome","Serotonergic agent use (e.g. SSRI, dextromethorphan) or multi-drug overdose. SSx: AMS, CLONUS/HYPERREFLEXIA, hyperthermia. Tx: supportive (IVF, benzos, cooling), ± Cyproheptadine",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of strychnine poisoning","Associations: gopher poison, adulterant in heroin. Inhibits glycine (similar to tetanus). SSx: agitation, myoclonus, severe and painful muscle contractions, rhabdo, seizures, “awake seizures” Tx: IVF, benzos, paralysis PRN.",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of sulfonylurea overdose (Glipizide, Glyburide)","Stimulates insulin release. SSx: sulfonylureas are long-acting → severe recurrent hypoglycemia → admit for monitoring. Tx: dextrose (IVP ± drip), octreotide (inhibits release of insulin).",Toxicology
Review the general SSx and Tx of insulin overdose,"SSx: hypoglycemia. The length of effect and need for monitoring is determined by the half-life of the type of insulin. Tx: glucagon, dextrose PRN.",Toxicology
What are common toxic causes of hypoglycemia?,"Ethanol (especially in kids), insulin/hypoglycemics (NOT metformin), beta blockers, salicylates, quinine",Toxicology
"Review the general pathophysiology, Dx, and Tx of metformin overdose","Inhibits gluconeogenesis → reduces hepatic glucose output → converts glucose to lactic acid → lactic acidosis. Tx: bicarb, lasix (increasing excretion), HD PRN.",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of theophylline toxicity","Methylxanthine derivative (like caffeine) & beta agonist. metabolized by hepatic CYP450 enzymes (meaning that there are many drug interactions). SSx: hypotension, dysrhythmia (MAT = classic), seizures. Tx: IVF, beta blocker, consider HD in severe intoxication.",Toxicology
"Review the general pathophysiology, SSx, Dx, and Tx of hydrogen peroxide ingestion",Toxicity occurs with industrial strength concentrations; SSx: stroke-like sx (cerebral gas embolism). Tx: hyperbaric oxygen.,Toxicology
Antidote for acetaminophen toxicity?,N-acetylcysteine (NAC),Toxicology
Antidote for beta blocker toxicity?,"Glucagon, Insulin",Toxicology
Antidote for calcium channel blocker toxicity?,"Calcium, glucagon, insulin",Toxicology
Antidote for carbon monoxide toxicity?,Oxygen (or hyperbaric O2 if severe and available),Toxicology
Antidote for cyanide toxicity?,"Hydroxycobalamine OR triple therapy (sodium nitrite, amyl nitrate, sodium thiosulfate)",Toxicology
Antidote for digoxin toxicity?,"Digoxin Fab (e.g. Digibind, Digifab)",Toxicology
Antidote for ethylene glycol and methanol toxicity?,Ethanol or fomepizole,Toxicology
Antidote for benzodiazepine toxicity?,Flumazenil (but can cause seizures in pts otherwise taking benzos),Toxicology
Antidote for serotonin syndrome?,"Cyproheptadine, benzos",Toxicology
Antidote for neuroleptic malignant syndrome?,"Dantrolene, Bromocriptine, benzos",Toxicology
Antidote for anticholinergic syndrome?,"Physostigmine, benzos",Toxicology
Antidote for iron toxicity?,Deferoxamine,Toxicology
Antidote for mercury toxicity?,Dimercaprol or dimercaprosuccinic acid (Succimer),Toxicology
Antidote for lead toxicity?,"Dimercaprol, EDTA, or dimercaprosuccinic acid (Succimer)",Toxicology
Antidote for isoniazid toxicity?,Vitamin B6 (pyridoxine),Toxicology
Antidote for organophosphate toxicity?,"Atropine, 2PAM",Toxicology
Antidote for valproic acid overdose?,L-Carnitine,Toxicology
What treatments for hyperkalemia and bradycardia are classically contraindicated in digoxin toxicity?,"Hyperkalemia: don't give calcium - rare risk of ""stone heart."" (this is debunked but still on boards). Bradycardia: don't do transvenous pacing - associated with increased ventricular arrhythmias 2/2 irritable myocardium.",Toxicology
What marker predicts mortality in digoxin toxicity?,Hyperkalemia > 5.0,Toxicology
Dx and Tx: Opioid withdrawal,"Reverse opioid effects: tachycardia, HTN, abd pain, N/V/D, sweating, agitation, dilated pupils, piloerection, yawning. Opioid withdrawal is NOT life-threatening except in neonates. Tx: antiemetics and clonidine.",Toxicology
Dx and Tx: Valproic acid toxicity?,"SSx: GI sx, AMS. Dx: high VA level, high ammonia. Tx: activated charcoal, L-carnitine, hemodialysis (if renal failure, severe cases).",Toxicology
How do you treat body packers?,"Packers - people who intentionally swallowed prepared packets of recreational drugs. Tx: if they are stable, cardiac monitoring and then give them miralax to help the packets come out sooner. Tx: if they are unstable, call surgery.",Toxicology
Toxin smells like garlic?,Arsenic or organophosphates,Toxicology
Toxin smells like fish?,Toxin smells like fruit?,Toxicology
"Isopropanol, ethanol",Treatment of severe hydrofluoric acid exposure?,Toxicology
Topical and intra-ARTERIAL calcium gluconate.,Dx and Tx: Phosgene,Toxicology
"Phosgene found in plastics, dyes, pesticides. Present w/ minimal conjuctival and pulmonary irriation. Leads to DELAYED noncardiogenic pulmonary edema. No antidote. Tx: admission and supportive care (intubation, ventilation).",Toxin smells like freshly cut Hay or Grass?,Toxicology
Differentiate Dx and Tx of chillblains (pernio) from trench foot (immersion foot),"Both are NON-freezing cold injuries. Chillblains: inflammatory lesions resulting from exposure to cold (DRY or damp) SSx: red/blue edematous plaques with itchy, burning pain; Tx: warming, drying, topical steroids, ? nifedipine. Trench foot: nerve and tissue injury resulting from repetitive exposure to WET cold (non-freezing) temperatures→ vasoconstriction → ischemia/gangrene; Tx: warming, drying, prevention with dry footwear.",Environmental
Differentiate Dx and Tx of frostnip from frostbite,"Both are FREEZING cold injuries. Frostnip: no ice formation or tissue loss, Tx: rewarming. Frostbite: MC freezing injury. Intracellular ice forms + causes tissue loss (can't initially distinguish the two); Tx: rewarming in warm H2O immersion in a circulating bath (37°C - 39°C), NO DRY HEAT EVER, pain control, Tdap prn, delayed debridement. Blister Rx: debride clear blisters, leave hemorrhagic blisters (simple wound care).",Environmental
What are the phases of frostbite? How is severity graded?,"I: vasoconstriction/ice formation. II: reperfusion of warmed tissues → edema/blisters & dry gangrene. Severity: graded by tissue death. 1st: Epidermis; erythema & edema; minimal pain with rewarming. 2nd: epidermis/dermis; hard edema + clear blisters; mild-mod pain with rewarming. 3rd: hypodermis; hemorrhagic blisters, pale grey ext; severe pain with rewarming. 4th: skin/muslce/tendon/bone; insensate, black/grey painless during rewarming.",Environmental
"Distinguish stages of hypothermia: mild, moderate, and severe","Mild (33-35°C): amnesia, dysarthria, shivering. Moderate (29-32°C): stupor, dysrhythmias, AMS, NO shivering. Severe (22-28°C): dysrhythmias (VFib, susceptibility), loss of DTRs, pulmonary edema, cold diuresis, obtunded. Profound (9-20°C): flat EEG, asystole.",Environmental
Review common physiologic changes in hypothermia,"Hyperglycemia (don't treat initially), functional coagulopathy, irritable myocardium, OxyHb curve left shifted (↑ O2 affinity + ↓O2 delivery)",Environmental
Review appropriate treatment of severe hypothermia,"ABCs: CPR/intubation PRN, 1 round of ACLS/shock, then just rewarm passively (insulating blanket) and actively (Bair Hugger, warm O2, and IVF to 107 F, bladder/stomach/peritoneal/chest tube lavage; ECMO is most effective). Goal rewarming to 86 degrees in arrest. ""Not dead until they're warm and dead.""",Environmental
Pathophysiology and prevention: Altitude sickness,Unclear but likely related to hypoxia causes pulmonary vasoconstriction & pulmonary HTN → pulmonary edema; cerebral vasodilation → headaches/acute mountain sickness & ultimately AMS/cerebral edema. Acclimatization causes hyperventilation → respiratory alkalosis + bicarb diuresis. Prevention: acetazolamide causes bicarb diuresis & metabolic acidosis → triggers hyperventilation + speeding acclimatization. Note: young and healthy people are NOT protected from altitude sickness (and in fact are more likely to get it).,Environmental
"Dx, SSx and Tx: Acute mountain sickness","MC high altitude illness. When: >2000m (6500ft). SSx: headache, n/v, anorexia, insomnia. Tx: stop ascent, supportive (fluids, analgesia, antiemetics), acetazolamide/steroids, portable HBO chamber, descent",Environmental
"Dx, SSx and Tx: High altitude pulmonary edema (HAPE)","MC lethal altitude illness. When: >3000m (9500ft). SSx: Initial (2-4d at new altitude): cough, dyspnea on exertion; progression: dyspnea at rest (classic), pink-frothy sputum, ↑HR, ↑RR, fever, hypoxia. CXR: patchy alveolar infiltrates (ARDS like). Tx: O2 (first line), nifedipine (for pulm HTN), portable HBO chamber, descent (immediately is not necessary but is only definitively effective treatment). **Acetazolamide is NOT helpful in acute illness.**",Environmental
Dx and Tx: High altitude cerebral edema (HACE),"Most severe altitude sickness but uncommon. When: >4500m (14000ft)Cerebral edema. SSx: ataxia (early+most sensitive finding), encephalopathy, severe lassitude, AMS, seizure. Tx : requires immediate Rx, descent = definitive (best when pt is still ambulatory), O2, steroids (rescue Rx), portable HBO chamber (e.g. Gamow bag).",Environmental
What causes barotrauma (diving) related illness?,Illness 2/2 descent/ascent. Explained by Boyle's Law (gas volume = 1/ pressure). Volume change is greater closer to surface (rapid change of 30ft near surface worse than deeper down),Environmental
"Review injuries related to descent (localized ""squeeze"") and appropriate treatment","Barotitis Externa: edema and hemorrhage to external auditory canal 2/2 blockage; Tx: corticosporin, dry ear precautions. Barotitis Media: MC diving related disorder. SSx: pain, vertigo 2/2 TM rupture; Tx: decongestants, antibiotics, dry ear precautions. Barotitis Interna: rupture/ bleeding of round window. SSx: decreased hearing, vertigo, nystagmus; Tx: ENT consult/eval. Sinus squeeze: frontal sinus = MC. Sinuses = 2nd MCC ""squeeze"" injuries. SSx: edema, pain, epistaxis; Tx: decongestants. Mask squeeze: petechiae and subQ hemorrhages.",Environmental
"Review injuries related to ascent (localized ""reverse squeeze"") and appropriate treatment","Barodontalgia: air in dental cavity/filling expands with ascent and causes pain, tooth may fall out. GI barotrauma: excess intraluminal gas causes burping/flatus. Pulmonary Over-Pressurization Syndrome (""POPS""): pulmonary alveolar rupture → pneumomediastinum, ± pneumothorax. SSx: crepitus, SOB, chest pain. Rx: O2, supportive (needle prn). Arterial Gas Embolism (""AGE""): rupture of air or nitrogen into pulmonary vein + left heart → enter circulation → systemic emboli. SSx: LOC on ascent OR within 10 min of surfacing; can cause ACS, CVA, etc. Tx: 100% O2, supine positioning, hyperbaric O2 therapy. Note: POPS & AGE are caused by ascending without exhaling.",Environmental
What causes dissolved gas (diving) related illness?,Illnesses related to gas in tissue. Explained by Henry's law (↑ pressure → ↑ gas pushed into solution).,Environmental
Review illnesses related to dissolved gas at while diving and appropriate treatment,"Nitrogen narcosis: ""rapture of the deep"" (>30m/100ft). Breathing nitrogen at high partial pressures leads to ↑ nitrogen in CNS with anesthetic. SSx: acts drunk & dumb, may drown 2/2 confusion/behavior. O2 toxicity: ↑ pO2 with depth causes toxicity, usually with deep diving or using Nitrox; SSx: muscle spasm, nausea, vision changes, seizure. Tx: ascent or can prevent by decreasing %O2 in tank.",Environmental
Review illnesses related to dissolved gas after ascent and appropriate treatment,"Decompression sickness (DCS): results from nitrogen dissolved in tissue under pressure precipitating out of solution (joints, lungs vessels) and forming bubbles during decompression. Risk factors: depth of dive, rapidity of ascent, multiple dives, air flight soon after dive. Type I: MSK sx (most common: arthralgia/myalias; most common affected shoulders and elbows (""The Bends""), cutis marmorata rash 2/2 lymphatic obstruction. Type II: pulmonary: dyspnea, cp, cough (""The Chokes""); neuro: vertigo, tinnitus, ataxia (""The Staggers""); spinal cord: paralysis, paresthesias; derm: pruritus, burning (""Skin Bends""). Tx: supportive (IVF, O2, ASA), hyperbaric O2 (must do this quickly). Prevention: slow ascent wit frequent stops (Navy dive tables)",Environmental
What is the key to diagnosis of arterial gas embolism vs decompression sickness?,"Timing - arterial gas embolism SSx occur within minutes of surfacing, decompression sickness within hours",Environmental
Dx and Tx: Heat syncope,"Standing in heat with peripheral pooling 2/2 vasodilation, and decreased preload causes syncope. Tx: passive cooling, fluids.",Environmental
Dx and Tx: Heat cramps,"Muscle spasms 2/2 dehydration and electrolyte depletion. Tx: rest, passive cooling, fluid replacement, salt replacement.",Environmental
Dx and Tx: Heat exhaustion,"Flu-like symptoms. No CNS changes. Core temp usually <104°F. Rx: passive cooling, rest, IVF, replete electrolytes.",Environmental
Dx and Tx: Heat stroke,"Due to failure of thermoregulary mechanisms, mortality 30-80%. SSx: CNS dysfunction (AMS, seizure, ataxia) + temp usually >104°F. Labs: LFTs universally abnormal, renal failure, DIC, rhabdo, ATN, pulm edema. Types: ""Classic"": nonexertional, minor dehydration, higher mortality, due to high ambient temperature and poor thermoregulatory function, usually in elderly; SSx: dry skin, AMS. ""Exertional"": young athletes strenuous exercise in hot environment, higher morbidity; SSx: sweaty, profound dehydration, hypoglycemia. Tx: rapid evaporative cooling is BEST (spray lukewarm water on body and use fans to help evaporate - cold water can cause shivering, Tx: low-dose benzos or thorazine), ice packs, cold water GI lavage if intubated, IVF (small if ""Classic,"" more if ""Exertional""), AVOID pressors, STOP COOLING at 102°F (39°C) to avoid hypothermia oveshoot. Note: ASA & tylenol do NOT help - the problem is hyperthermia, not fever.",Environmental
What are the key differences between heat exhaustion and heat stroke?,"HE: temp <104, flu-like ssx, NO neuro ssx. HS: temp >104 + neuro ssx",Environmental
Differentiate the SSx and Tx of the different degrees of thermal burn injury,"1st degree: superficial, epidermis. SSx: sunburn, redness, blanching, pain, no blisters (NOT counted in TBSA). Tx: NSAIDs. 2nd degree: superficial partial, upper dermis. SSx: blistering with pain, intact sensation. Tx: NSAIDs, topical antibiotics. 3rd degree: full thickness, hypodermis; charred insensate, eschar formation; Tx: skin grafting. 4th degree: deep tissue, muscle/tendon/bone; painless; Tx: skin grafting.",Environmental
Review how to use Rule of 9s (in adults) to calculate TBSA,"9%: head, each arm. 18%: entire leg, front of torso, back of torso; 1% adult palm, child's entire hand, perineum. **Only counts 2nd-4th degree burns**",Environmental
Review appropriate fluid resuscitation in thermal burns using the Parkland Formula,"Resuscitation volume = 4 cc/kg x TBSA% x wt (kg). Rx: LR, 50% in first 8hr since time of burn, 50% over next 16hr. UOP goal >1cc/kg/hr. Children: include maintenance IVF for age <5",Environmental
"What additional injuries are commonly associated with thermal burn injuries, describe SSx and Tx?","Inhalation injury: higher risk if enclosed space; inhaled toxins cause edema & loss of surfactant; SSx: cough, stridor, hypoxia, carbonaceous sputum but sx are often delayed; Tx: intubate early due to anticipated airway edema. Consider CN & CO expsoure, traumatic Injuries, rhabdo (esp. with electrical burns or 4th degree thermal burns, DIC.",Environmental
Review key components of treatment of thermal burns,"Intubate early prn (e.g. inhalational injury), IVF: time starts from burn Parkland formula, check for associated traumatic injuries, update tetanus, keep warm, provide wound care but no need for prophylactic antibiotics",Environmental
Appropriate management of restrictive full thickness burns (respiratory compromise or decreased peripheral perfusion),Immediate escharotomy,Environmental
What are indications for referral to a burn center?,"2nd degree burns > 10% TBSA or ANY 3rd/4th degree burn; burns involving hands, feet, genitals/perineum, face, major joints; electrical/ chemical/inhalational burns; all circumferential burns; pts with significant comorbidities",Environmental
What is the appropriate treatment for tar burns?,"Cool tar and remove with emulsifier (return to rinse in 24hr), do not peel off",Environmental
Review the key differences between high vs. low voltage electrical injuries,"Voltage = Current x Resistance. Household circuits are low voltage (110V) but more accessible; high voltage/industrial (1000V) is more dangerous. Electricity will travel the path of least resistance (preference for nerves, blood vessels, wet skin). Damage is therefore usually deep with little evidence of surface damage. Most damage is 2/2 heat produced by resistance (bone, tendon).",Environmental
Review the key differences between AC and DC current,"AC: more lethal; 1k-10k volts; back-and-forth current; electrical outlets. MSK: sustained contractions (tetany): flexor>extensor → draws person to source, posterior shoulder dislocation; CV: Vfib; Burns: mre extensive; Myoglobinuria/fasciotomy: common. DC: 10mil-2bil volts; single direction; batteries/lightning; single powerful muscle spasm → traumatic fx as ot is thrown from source; CV: asystole (acts like defibrillator); Myoglobinuria/fasciotomy: rare",Environmental
Review primary clinical concerns with electrical injuries,"Arrhythmia/asystole, deep burns, rhabdo, associated trauma, vascular spasm and thrombosis, AMS/seizure, delayed peripheral neuropathies",Environmental
Review appropriate management of electrical injuries,"Low voltage: asymptomatic → home without testing; mild symptoms → cards monitor, EKG and urine dip (r/o rhabdo) → d/c if normal. High voltage: ALL pts: labs, urine dip, CPK, CTb if AMS, tetanus for burns, admit ALL.",Environmental
Review clinical concerns and appropriate treatment for pediatric commissure burns of the mouth,"Association: Kid chews on cord and gets burns at corner(s) of mouth. Concern for delayed bleeding of labial artery (day 5); ok for d/c if no LOC, no other injury, normal EKG, tolerating PO and reliable parents - instruct parents to hold pressure and return if delayed bleed occurs. Pt will need outpatient f/u with plastics/OMFS for wound check and further care.",Environmental
Review the general pathophysiology and SSx of lightning injuries,"Large DC voltage → asystole + apnea. Other SSx: steam burns, TM rupture (classic), superficial fern-shaped/branching burns, associated trauma, delayed cataracts. **Note: apparently dead lightning strike victims are an exception to mass casualty triage rules, can survive with rescue breathing. → attend to pts with no signs of life FIRST**",Environmental
Dx and Tx: Leg numbness/ weakness and cyanosis after lightening strike,Keraunoparalysis: current goes up one leg and down the other causing vasospasm and neuroparalysis; spontaneously resolves after 6hr,Environmental
What skin finding is pathognomonic for lightening injury?,"Lichtenberg figure: superficial burn or feather pattern from ""electrical shower""; usually resolves within 6hr",Environmental
What is the usual cause of death in submersion injury?,"Breath holding → involuntary gasp → aspiration / laryngospasm / LOC → active aspiration of fluid leading → loss of surfactant / hypoxa / ARDS → death. Also causes airway obstruction and metabolic acidosis (MC abnormality), delayed pneumonia. Consider associated trauma.",Environmental
What is the mammalian diving reflex?,"More common in children. Sudden submersion in cold water causes bradycardia, blood shunting to CNS, and slowed metabolism.",Environmental
What is the appropriate treatment for submersion injury?,"Apneic, unconscious, severe respiratory distress: apply BiPAP or intubate, consider ECMO, warm → admit to ICU. Asymptomatic: monitor 2-3hr then home; Mild sx: normal pulse ox & CXR → home after 4hr obs; moderate sx: hypoxia → admit for obs.",Environmental
"What is the difference between a Gray, a Rad, and alpha, beta and gamma rays?","The amount of energy deposited into tissues is measured in Rads. The principle unit of radiation is the gray (Gy); 1 Gy = 100 Rad. α- & βparticles = subatomic particles emitted during radioactive decay. αparticles: larger, do not penetrate clothing or skin, dangerous if inhaled or ingested. β-particles: smaller, can penetrate superficial skin layers. Gamma rays: high energy electromagnetic radiation, dangerous in any form of exposure because they can penetrate tissues very deeply.",Environmental
What clinical syndromes are caused by whole body radiation exposure?,"Hematopoietic syndrome: >2Gy, first to show injury, most sensitive organ system; SSx: pancytopenia & infection; onset <2 days. GI syndrome: 2nd most sensitive system, >6Gy: n/v, GI bleed; onset hours. CV/CNS syndrome: >10Gy, shock, CNS damage, onset: minutes. CV system primarily affected at high doses. Lymphopenia developes first in all exposures.",Environmental
How does the absolute lymphocyte count (ALC) predict outcomes?,"ALC at 48hrs is key to prognosis; if >1500 good prognosis, if <300 lethal. ALC is also the earliest indicator of acute radiation syndrome.",Environmental
What medication can be taken before inhaled/ingested radioactive iodine to prevent thyroid cancer?,Potassium iodide,Environmental
What is the correct approach to decontamination of pt exposed to radiation?,"Remove clothing (90%), wash with soap/water, don't abrade skin.",Environmental
"What bacteria cause infection in human, dog, and cat bites and what is the correct antibiotic therapy?","Human: Eikenella corrodens; Dog & cat: Pasturella multiocida. Rx: amoxicillin-clavulanate or ampicillin-sulbactam; alt levofloxacin or metronidazole. Dog bites cause crush injuries; cat bites cause puncture wounds (caution near joints), but have equal rates of infection.",Environmental
Specific concern and appropriate management of primate bite?,"Primates carry herpes simiae (""B virus"" ). Fatal in humans if not treated early. SSx: paresthesias (early) followed by vesicular rash and encephalitis. Tx: IV acyclovir",Environmental
Appropriate management of dog bites?,"Primary repair for uncomplicated injuries (not contaminated, not crush injury, time<12hrs [face<24hrs], no hands or feet). Tx: abx if bite is on the hand or below the knee (or the victim is high risk).",Environmental
What type of arthropod bites/ stings are most commonly concerning?,"Hymenoptera (bees, wasps, hornets, ants): venom contains histamine and proteins potentially leading to anaphylaxis.",Environmental
"Review the following sting reactions: local, toxic, anaphylactic, delayed","Local: redness, swelling, pain (e.g. typical bee sting). Toxic: >10 stings (killer bees, fire ants), ssx: syncope, headache, n/v; can resemble anaphylaxis but WITHOUT generalized hives/edema or bronchospasm. Anaphylaxis: onset within minutes, includes bronchospasm, hypotension, urticarial rash. Delayed: like serum sickness with arthralgias, fever, malaise, occurring 1-2wks later.",Environmental
What is the appropriate treatment for Hymenoptera stings?,"Remove stinger (with tweezers - all venom is already injected), wound care, diphenhydramine, NSAIDs, steroids, and epinephrine (0.3-0.5 mg 1:1000 IM) for anaphylaxis or systemic symptoms. Infection is uncommon so empiric abx are not necessary (though initially stings may look infected).",Environmental
Distinguish Dx and Tx of brown recluse vs black widow spider bites,"Brown recluse (Loxosceles): ""violin"" on back, warm/dry places in southern American Midwest; they tend not to be aggressive (hence the name); SSx: painless bite, venom is cytotoxic → local tissue destruction (necrotic ulcer is classic), rarely heme abnormalities (hemolysis, DIC); Rx: supportive (wound care), tetanus, NO antivenin. Black widow (Lactrodectus): yellow/red ""hourglass"" on belly, warm/dry places across the US; they tend to be more aggressive. SSx: painful bite, venom is neurotoxic → ACh + NE release → painful muscle cramping (can mimic acute abdomen), CNS excitation, sweating. Tx: supportive (opioids, benzos), antivenin only for severe pain (risk of anaphylaxis).",Environmental
Dx and Tx: Scorpion stings,"Bark scorpion (Centruroides): most venomous, resides mostly in Arizona. Small scorpions are worse, stings usually occur at night. Venom is neurotoxic (ACh + NE release). SSx: local sx (heightened sensitivity to touch = pathognomonic), sympathomimetic sx (HTN, tachy, hyper salivation, bronchoconstriction), CNS sx (roving eye movements, bulbar neuropathies), somatic effects (fasiculations, muscle spasm); Tx: supportive (opioids, benzos), intubate as needed, atropine for secretions, antivenom prn. Most likely fatal in children.",Environmental
Distinguish Dx of Crotalid vs. Elapid snake bites,"Crotalidae (""pit vipers"" = rattlesnakes, copperheads, cottonmouths): most US envenomations, ~25% are dry bites. Venom types: cytotoxic & hemolytic. SSx: local- painful, edema/erythema/bullae; systemicparesthesias, metallic taste; heme- coagulopathy, DIC, thrombocytopenia. Elapidae (coral snakes, sea snakes): ""Red on yellow, kill a fellow"" is true in US only. Snake must hang on and ""chew"" to inject venom but you don't usually see bite marks. Venom type: neurotoxic (inds ACh receptors). SSx: broadly think nuero symptoms: bulbar palsies, resp. paralysis.",Environmental
Distinguish Tx of Crotalid vs Elapid snake bites,"Crotalid Rx: local wound care, supportive care, q2 coags, update tetanus, consider antivenom for mod-severe envenomations (CroFabfrom sheep, allergic rxns not common. Elapid Rx: admit ALL for monitoring of delayed neuro sx, antivenin for eastern coral snakes, intubate and give supportive care PRN.",Environmental
